"PERIOD","ITEM","VALUE"
1983,"L_S1_EINLINLNB_TERMIN",109928
1983,"L_S1_EINLINLNB_SPAR",720642
1983,"L_S1_EINLINLNB_SICHT.TERMIN.SPAR",928333
1983,"L_S1_EINLINLNB_FX",16539
1983,"L_S1_EINLINLNB_TOT",944872
1983,"L_S1_EIGENEINLEMISSIONEN",265056
1983,"L_S1_NOMINALKAPINLAENDER",14753
1983,"L_S1_RUECKLAG",32601
1983,"L_S1_HAFTRUECKLAGE",18077
1983,"L_S1_PARTIZIPKAPINLAENDER",NA
1983,"L_S1_ERGAENZKAPINLAENDER",NA
1983,"L_S1_OTHER",102043
1983,"L_S1_TOT",2030521
1983,"L_S2_INTBNK",417495
1983,"L_S2_EINLAUSLNB",37008
1983,"L_S2_EIGENEAUSLEMISSIONEN",86252
1983,"L_S2_NOMINALKAPAUSLAENDER",1161
1983,"L_S2_PARTIZIPKAPAUSLAENDER",NA
1983,"L_S2_ERGAENZUNGSKAPAUSLAENDER",NA
1983,"L_S2_OTHER",17568
1983,"L_S2_TOT",559485
1983,"L_TOT",2590006
1984,"A_S1_KASSENLIQU_BESTAND",9793
1984,"A_S1_KASSENLIQU_GUTHOENB",44219
1984,"A_S1_INTBANK_GUTHABEN",462163
1984,"A_S1_INTBANK_KRED",190153
1984,"A_S1_INLWPERGAENZKAP_BUNDSCHATZ",46155
1984,"A_S1_INLWPERGAENZKAP_SONSTWP",216917
1984,"A_S1_INLWPERGAENZKAP_ANTEILSWERTE",11292
1984,"A_S1_INLWPERGAENZKAP_TOT",274364
1984,"A_S1_INLWPERGAENZKAP_DAVONERGAENZUNGSKAP",NA
1984,"A_S1_DIREKTKREDINLNB_WECHSEL",76489
1984,"A_S1_DIREKTKREDINLNB_HYPOTHEKKOMMUNAL",386487
1984,"A_S1_DIREKTKREDINLNB_SONSTIGEATS",589071
1984,"A_S1_DIREKTKREDINLNB_WECHSEL.HYPOTHEKKOMMUNAL.SONSTIGEATS",1052047
1984,"A_S1_DIREKTKREDINLNB_DIREKTKREDFX",62305
1984,"A_S1_DIREKTKREDINLNB_TOT",1114352
1984,"A_S1_BETKONSORT_TOT",22586
1984,"A_S1_BETKONSORT_DAVONPARTIZIPKAP",NA
1984,"A_S1_OTHER",114018
1984,"A_S1_TOT",2231647
1984,"A_S2_KASSENBESTFX",1909
1984,"A_S2_INTBNK_GUTHABEN",254815
1984,"A_S2_INTBNK_KRED",159213
1984,"A_S2_AUSLWPBETKONSORT",31864
1984,"A_S2_KREDAUSLNB",167415
1984,"A_S2_OTHER",18277
1984,"A_S2_TOT",633494
1984,"A_TOT",2842182
1984,"L_S1_INTBNK",689232
1984,"L_S1_EINLINLNB_SICHT",102691
1984,"L_S1_EINLINLNB_TERMIN",113898
1984,"L_S1_EINLINLNB_SPAR",772828
1984,"L_S1_EINLINLNB_SICHT.TERMIN.SPAR",989417
1984,"L_S1_EINLINLNB_FX",23736
1984,"L_S1_EINLINLNB_TOT",1013153
1984,"L_S1_EIGENEINLEMISSIONEN",281357
1984,"L_S1_NOMINALKAPINLAENDER",17256
1984,"L_S1_RUECKLAG",35021
1984,"L_S1_HAFTRUECKLAGE",19724
1984,"L_S1_PARTIZIPKAPINLAENDER",NA
1984,"L_S1_ERGAENZKAPINLAENDER",NA
1984,"L_S1_OTHER",109746
1984,"L_S1_TOT",2165490
1984,"L_S2_INTBNK",478746
1984,"L_S2_EINLAUSLNB",59682
1984,"L_S2_EIGENEAUSLEMISSIONEN",121166
1984,"L_S2_NOMINALKAPAUSLAENDER",1322
1984,"L_S2_PARTIZIPKAPAUSLAENDER",NA
1984,"L_S2_ERGAENZUNGSKAPAUSLAENDER",NA
1984,"L_S2_OTHER",15777
1984,"L_S2_TOT",676692
1984,"L_TOT",2842182
1985,"A_S1_KASSENLIQU_BESTAND",10050
1985,"A_S1_KASSENLIQU_GUTHOENB",45313
1985,"A_S1_INTBANK_GUTHABEN",513791
1985,"A_S1_INTBANK_KRED",195567
1985,"A_S1_INLWPERGAENZKAP_BUNDSCHATZ",40989
1985,"A_S1_INLWPERGAENZKAP_SONSTWP",220212
1985,"A_S1_INLWPERGAENZKAP_ANTEILSWERTE",12840
1985,"A_S1_INLWPERGAENZKAP_TOT",274041
1985,"A_S1_INLWPERGAENZKAP_DAVONERGAENZUNGSKAP",NA
1985,"A_S1_DIREKTKREDINLNB_WECHSEL",71338
1985,"A_S1_DIREKTKREDINLNB_HYPOTHEKKOMMUNAL",423993
1985,"A_S1_DIREKTKREDINLNB_SONSTIGEATS",657355
1985,"A_S1_DIREKTKREDINLNB_WECHSEL.HYPOTHEKKOMMUNAL.SONSTIGEATS",1152686
1985,"A_S1_DIREKTKREDINLNB_DIREKTKREDFX",58971
1985,"A_S1_DIREKTKREDINLNB_TOT",1211657
1985,"A_S1_BETKONSORT_TOT",28596
1985,"A_S1_BETKONSORT_DAVONPARTIZIPKAP",NA
1985,"A_S1_OTHER",125527
1985,"A_S1_TOT",2404542
1985,"A_S2_KASSENBESTFX",1937
1985,"A_S2_INTBNK_GUTHABEN",307756
1985,"A_S2_INTBNK_KRED",161741
1985,"A_S2_AUSLWPBETKONSORT",39941
1985,"A_S2_KREDAUSLNB",167380
1985,"A_S2_OTHER",17110
1985,"A_S2_TOT",695866
1985,"A_TOT",3077323
1985,"L_S1_INTBNK",735881
1985,"L_S1_EINLINLNB_SICHT",107465
1985,"L_S1_EINLINLNB_TERMIN",124146
1985,"L_S1_EINLINLNB_SPAR",826617
1985,"L_S1_EINLINLNB_SICHT.TERMIN.SPAR",1058228
1985,"L_S1_EINLINLNB_FX",21122
1985,"L_S1_EINLINLNB_TOT",1079350
1985,"L_S1_EIGENEINLEMISSIONEN",317775
1985,"L_S1_NOMINALKAPINLAENDER",18913
1985,"L_S1_RUECKLAG",37405
1985,"L_S1_HAFTRUECKLAGE",21480
1985,"L_S1_PARTIZIPKAPINLAENDER",NA
1985,"L_S1_ERGAENZKAPINLAENDER",NA
1985,"L_S1_OTHER",141884
1985,"L_S1_TOT",2352687
1985,"L_S2_INTBNK",504409
1985,"L_S2_EINLAUSLNB",79685
1985,"L_S2_EIGENEAUSLEMISSIONEN",129336
1985,"L_S2_NOMINALKAPAUSLAENDER",1439
1985,"L_S2_PARTIZIPKAPAUSLAENDER",NA
1985,"L_S2_ERGAENZUNGSKAPAUSLAENDER",NA
1985,"L_S2_OTHER",9766
1985,"L_S2_TOT",724636
1985,"L_TOT",3077323
1986,"A_S1_KASSENLIQU_BESTAND",10282
1986,"A_S1_KASSENLIQU_GUTHOENB",51726
1986,"A_S1_INTBANK_GUTHABEN",551024
1986,"A_S1_INTBANK_KRED",197009
1986,"A_S1_INLWPERGAENZKAP_BUNDSCHATZ",40983
1986,"A_S1_INLWPERGAENZKAP_SONSTWP",230895
1986,"A_S1_INLWPERGAENZKAP_ANTEILSWERTE",19034
1986,"A_S1_INLWPERGAENZKAP_TOT",290912
1986,"A_S1_INLWPERGAENZKAP_DAVONERGAENZUNGSKAP",NA
1986,"A_S1_DIREKTKREDINLNB_WECHSEL",74321
1986,"A_S1_DIREKTKREDINLNB_HYPOTHEKKOMMUNAL",478552
1986,"A_S1_DIREKTKREDINLNB_SONSTIGEATS",723914
1986,"A_S1_DIREKTKREDINLNB_WECHSEL.HYPOTHEKKOMMUNAL.SONSTIGEATS",1276787
1986,"A_S1_DIREKTKREDINLNB_DIREKTKREDFX",56784
1986,"A_S1_DIREKTKREDINLNB_TOT",1333571
1986,"A_S1_BETKONSORT_TOT",32969
1986,"A_S1_BETKONSORT_DAVONPARTIZIPKAP",NA
1986,"A_S1_OTHER",122929
1986,"A_S1_TOT",2590412
1986,"A_S2_KASSENBESTFX",2273
1986,"A_S2_INTBNK_GUTHABEN",341875
1986,"A_S2_INTBNK_KRED",152396
1986,"A_S2_AUSLWPBETKONSORT",46311
1986,"A_S2_KREDAUSLNB",164959
1986,"A_S2_OTHER",29736
1986,"A_S2_TOT",737550
1986,"A_TOT",3304519
1986,"L_S1_INTBNK",768457
1986,"L_S1_EINLINLNB_SICHT",113475
1986,"L_S1_EINLINLNB_TERMIN",162793
