"unit","direct","na_item","sector","geo","time","values","pcntgdp"
"CP_MEUR","RECV","B9","S2","AT","2001",2367,1.07898419586731
"CP_MEUR","RECV","B9","S2","AT","2002",-4245,-1.88592905885698
"CP_MEUR","RECV","B9","S2","AT","2003",-3366,-1.46003765040643
"CP_MEUR","RECV","B9","S2","AT","2004",-4325,-1.79802279851336
"CP_MEUR","RECV","B9","S2","AT","2005",-5100,-2.02096253293971
"CP_MEUR","RECV","B9","S2","AT","2006",-6538,-2.45850474177804
"CP_MEUR","RECV","B9","S2","AT","2007",-9436,-3.34363306497335
"CP_MEUR","RECV","B9","S2","AT","2008",-12168,-4.16932217676446
"CP_MEUR","RECV","B9","S2","AT","2009",-6575,-2.29675066544639
"CP_MEUR","RECV","B9","S2","AT","2010",-9931,-3.37730529738039
"CP_MEUR","RECV","B9","S2","AT","2011",-6281,-2.03818059688416
"CP_MEUR","RECV","B9","S2","AT","2012",-5576,-1.76127408090616
"CP_MEUR","RECV","B9","S2","AT","2013",-5584,-1.73852399810705
"CP_MEUR","RECV","B9","S2","AT","2014",-7541,-2.28436237178672
"CP_MEUR","RECV","B9","S2","AT","2015",-5692,-1.66391880356871
"CP_MEUR","RECV","B9","S2","AT","2016",-9300,-2.61481277378214
"CP_MEUR","RECV","B9","S2","AT","2017",-4890,-1.33135490545747
"CP_MEUR","RECV","B9","S2","AT","2018",-1527,-0.39845107688775
"CP_MEUR","RECV","B9","S2","AT","2019",-9828,-2.48365583626269
"CP_MEUR","RECV","B9","S2","AT","2020",-12969,-3.41004107089331
"CP_MEUR","RECV","B9","S2","AT","2021",-7559,-1.8607593690305
"CP_MEUR","RECV","B9","S2","AT","2022",3616,0.807128444134926
"CP_MEUR","RECV","B9","S2","AT","2023",-8894,-1.87943629590028
